epoch_time,status,satellite_count,raw_satellite_count,X,Y,Z,lat,lon,height,clock_bias,PDOP,GDOP,error_3d,iteration_count,rejected_outliers,failure_reason,elevation_mask_deg
2026-04-01 00:00:00,成功,27,27,-2267801.4014655952,5009342.3738756105,3220995.2837466756,30.52847410350397,114.35694722140263,41.84461227990687,72.9329575236659,14.985623034023096,15.03918613981239,5.462823139084911,2,0,,0.0
2026-04-01 00:05:00,成功,27,27,-2267773.6461438853,5009354.463458359,3220991.797745745,30.528449003009957,114.35663180600538,39.70066542271525,85.43422594680376,16.982806979820094,17.036764802100247,31.16078199730007,3,0,,0.0
2026-04-01 00:10:00,成功,27,27,-2267767.1399745513,5009358.695223504,3220996.189199995,30.528477754212457,114.35655186216142,42.94081107247621,79.43630096679655,12.476341888009367,12.519088789867979,37.997563751188125,2,0,,0.0
2026-04-01 00:15:00,成功,27,27,-2267838.7156985113,5009318.620577528,3221006.6445158715,30.528591010785004,114.35740349626809,42.23208553344011,97.46269110260614,18.36475937426546,18.412229848742196,44.72286448359784,3,0,,0.0
2026-04-01 00:20:00,成功,27,27,-2267711.3154036403,5009388.12673077,3220977.137417816,30.528312361919408,114.35589548136527,36.52739658486098,78.94587304307963,22.217272878418246,22.259803198517236,103.45935197071351,3,0,,0.0
2026-04-01 00:25:00,成功,27,27,-2267798.706103372,5009341.622916863,3221002.4445248055,30.528537969332326,114.35692486323626,43.935243097133934,88.69675095082245,16.546354648531967,16.571620411064316,3.206825401260991,3,0,,0.0
2026-04-01 00:30:00,成功,27,27,-2267793.5657529556,5009338.946077422,3220996.0108234864,30.528508867983348,114.35688757249753,36.74049332179129,83.78110260622829,17.783919219639113,17.801827454482474,7.643547414971123,2,0,,0.0
2026-04-01 00:35:00,成功,26,26,-2267788.412953364,5009343.505308683,3221002.5545470845,30.528550417680716,114.35681906794967,41.81164195295423,65.18671759990343,12.877451435786064,12.993371200862137,12.372249169431626,2,0,,0.0
2026-04-01 00:40:00,成功,26,26,-2267786.858490934,5009346.4479846405,3221004.3939002887,30.528555363337084,114.35679166691497,44.50290102697909,79.53456544079411,19.274669139713538,19.43152996063743,15.283393805030371,2,0,,0.0
2026-04-01 00:45:00,成功,26,26,-2267834.5911933477,5009323.980208812,3221008.680986833,30.528592256083407,114.35734131279212,46.00703088194132,45.89226340636269,14.653311796062223,14.765174168684558,39.096597029767736,3,0,,0.0
2026-04-01 00:50:00,成功,26,26,-2267777.2706858153,5009350.791106838,3220994.369816451,30.528477467255318,114.35668199251117,39.41305746603757,74.39293042266493,16.46668064609179,16.57586880468293,25.783108363630987,3,0,,0.0
2026-04-01 00:55:00,成功,26,26,-2267833.0278050276,5009321.601953239,3221016.968042529,30.528669526279966,114.35733669290336,47.79496774170548,78.01863102385911,15.175624834632359,15.263086593239054,41.439576455649686,3,0,,0.0
2026-04-01 01:00:00,成功,26,26,-2267809.7138602994,5009336.320896303,3221001.959912828,30.52853553405115,114.35705213697844,43.43903579376638,65.1736809543368,17.5642335916292,17.643570902492723,10.570531879817437,3,0,,0.0
