epoch_time,status,satellite_count,raw_satellite_count,true_X,true_Y,true_Z,true_lat,true_lon,true_height,X,Y,Z,lat,lon,height,clock_bias,PDOP,GDOP,error_3d,iteration_count,rejected_outliers,failure_reason,elevation_mask_deg,sat_clock_correction_m,tropo_correction_m,iono_correction_m
2026-05-03 16:00:00,成功,24,24,-2317919.5890731355,5391367.562679309,2489881.494112366,23.1291,113.2644,20.0,-2317919.35237279,5391367.793918255,2489881.9957495597,23.129103743640794,113.26439698522867,20.30643125064671,83.44178425941578,0.6202582025499754,0.6553747394952057,0.6009478992150153,2,0,,0.0,-58220.92240631089,18.35612263320839,90.34170384672201
2026-05-03 16:05:00,成功,24,24,-2317977.0170484954,5391332.350184375,2489904.5501325955,23.129325740096178,113.26505088320928,20.167064145207405,-2317975.215605967,5391333.900331954,2489904.7273777784,23.12932468452703,113.26502874750666,20.891970884986222,62.448578539693386,0.6202291040313297,0.6553430224530626,2.3831845398590654,2,0,,0.0,-58221.0904565185,18.458745496511757,90.97796128674413
2026-05-03 16:10:00,成功,24,24,-2318034.445023855,5391297.137689441,2489927.6061528246,23.12955147748776,113.26570176856274,20.334923254325986,-2318032.9660178646,5391299.137916654,2489926.582118481,23.129538528408233,113.26568078908275,21.08529773540795,98.11618944500665,0.6201989206930641,0.6553099672628367,2.6901698757377224,2,0,,0.0,-58221.25843390395,18.504920028970876,91.35309518900642
2026-05-03 16:15:00,成功,24,24,-2318091.8729992155,5391261.925194508,2489950.662173054,23.12977721217464,113.26635265606016,20.50357732269913,-2318091.998635292,5391265.1747960495,2489950.9350120625,23.129768712806186,113.26634125066869,23.401760647073388,63.634871637442735,0.6201677854088784,0.6552756993831208,3.263454569019271,2,0,,0.0,-58221.42633545778,18.486029353286348,91.26428800957852
2026-05-03 16:20:00,成功,24,24,-2318149.3009745753,5391226.712699574,2489973.718193284,23.13000294415674,113.26700354570144,20.673026353120804,-2318149.3948247987,5391226.192403291,2489973.329682369,23.13000128195038,113.26700639407876,20.114943873137236,64.53537778206831,0.6201358235169476,0.6552403342636708,0.6560920801667364,2,0,,0.0,-58221.594158294996,18.48322075859733,91.25178317478917
2026-05-03 16:25:00,成功,24,24,-2318206.728949935,5391191.50020464,2489996.774213513,23.130228673433965,113.26765443748639,20.84327034186572,-2318206.7720119483,5391188.9273269065,2489997.2905758377,23.130241284764843,113.26766474672625,18.888129520229995,74.75673058099152,0.62010321001249,0.6552040505610675,2.62453504861691,2,0,,0.0,-58221.76189966002,18.495535858906393,91.3108392659821
2026-05-03 16:30:00,成功,24,24,-2318264.156925295,5391156.287709706,2490019.8302337425,23.13045440000622,113.26830533141487,21.01430929452181,-2318261.1031147367,5391158.37937614,2490016.062678698,23.13042057825222,113.26826987378817,20.1919988617301,71.60250403440398,0.6200701146129571,0.6551670217347267,5.281599985814333,2,0,,0.0,-58221.92955693122,18.523441148016456,91.44482837139164
2026-05-03 16:35:00,成功,24,24,-2318321.584900655,5391121.0752147725,2490042.886253972,23.130680123873397,113.26895622748673,21.186143204569817,-2318322.340159834,5391120.180695732,2490041.85610526,23.130673426297626,113.26896645170714,20.300149681977928,75.72682114165012,0.6200366998722993,0.6551294150835664,1.5594188372299431,2,0,,0.0,-58222.097127625304,18.43398952476865,90.76455903151061
2026-05-03 16:40:00,成功,24,24,-2318379.0128760147,5391085.862719839,2490065.942274201,23.130905845035414,113.26960712570177,21.358772076666355,-2318378.139208088,5391087.456755895,2490067.0512767243,23.130911083878576,113.26959314127737,22.823671984486282,63.119749052655294,0.6200031541036458,0.6550914332952434,2.129350414821914,2,0,,0.0,-58222.264609401485,18.253057058663227,89.60227736325798
2026-05-03 16:45:00,成功,24,24,-2318436.440851375,5391050.650224905,2490088.998294431,23.131131563492172,113.27025802605988,21.5321959098801,-2318436.2295497125,5391051.116862643,2490089.4957935587,23.131134470114343,113.27025433094843,22.045079580508173,71.90823164243412,0.6199696409258239,0.6550532524292175,0.7140760131166276,2,0,,0.0,-58222.432000065426,18.0696624685422,88.50725795211612
2026-05-03 16:50:00,成功,24,24,-2318493.868826735,5391015.4377299715,2490112.0543146604,23.13135727924359,113.27090892856089,21.70641470141709,-2318495.225715317,5391015.612887138,2490114.541229595,23.13137545754786,113.27092042300984,23.324328877963126,51.59325573042668,0.6199363460487451,0.6550150811241973,2.838410215010982,2,0,,0.0,-58222.59929757294,17.970412316992242,88.03485289699931
