epoch_time,status,satellite_count,raw_satellite_count,spp_x,spp_y,spp_z,error_3d_before,PDOP,GDOP,clock_bias,iteration_count,failure_reason
2026-04-01 02:00:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:05:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:10:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:15:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:20:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:25:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:30:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:35:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:40:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:45:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:50:00,失败,1,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 02:55:00,失败,2,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
2026-04-01 03:00:00,失败,2,27,nan,nan,nan,nan,nan,nan,nan,0,高度角截止 5.0° 后可用卫星不足 4 颗
