epoch_time,sat_id,X,Y,Z,satellite_clock_bias,relativistic_correction,position_norm,health,status
2026-04-01 00:00:00,C19,19497708.322036013,6900439.835033265,18778177.908231623,-0.000955066116467573,-6.951731729225987e-10,27935580.632614467,0.0,计算成功
2026-04-01 00:00:00,C20,17889925.774704244,20858275.650936384,5011201.476656358,-0.0009321976825026035,4.4294696536516964e-11,27932583.97632621,0.0,计算成功
2026-04-01 00:00:00,C21,-4944803.740450103,-23769496.873379476,13733519.55045539,-0.0008638400318966948,-1.847737494813617e-09,27893540.916991994,0.0,计算成功
2026-04-01 00:00:00,C22,10137533.815444406,-12143871.150468346,22979471.94844944,0.0004475718121027163,-1.6774067836847013e-09,27898016.58555731,0.0,计算成功
2026-04-01 00:00:00,C23,-21706896.23413096,11372741.849000026,13360074.670735458,-0.000472663583514426,-3.101412600214256e-11,27910933.27875212,0.0,计算成功
2026-04-01 00:00:00,C24,-16753907.572701484,-12254312.834566372,-18680777.600566912,-0.00020188231928964173,1.841714582875715e-10,27925491.110522743,0.0,计算成功
2026-04-01 00:00:00,C25,-27783748.852395024,905785.8789129166,-2597897.6093423543,0.0009035605960686897,-8.824120103489893e-10,27919638.614065666,0.0,计算成功
2026-04-01 00:00:00,C26,1724249.2679535418,-16463262.15758372,-22488333.40150097,-0.0006186024649743302,1.7214823698509525e-09,27923774.379270986,0.0,计算成功
2026-04-01 00:00:00,C27,-6617160.300065325,26072949.115787268,-7440756.597858386,0.0006142681882605887,1.6949028887226564e-09,27909681.91828359,0.0,计算成功
2026-04-01 00:00:00,C28,-15875049.897233661,21945222.745605744,6709194.102415087,0.0005013184185256375,-6.695046250933787e-11,27903822.248892564,0.0,计算成功
2026-04-01 00:00:00,C29,17820500.285316512,-2528680.473553016,-21336860.249126635,0.000584098519569882,-1.0728961792156196e-10,27914620.91175616,0.0,计算成功
2026-04-01 00:00:00,C30,9164764.156693589,16354152.197538946,-20681446.9195465,0.0004183335782701986,1.405712498632537e-09,27913678.418189585,0.0,计算成功
2026-04-01 00:00:00,C32,5127133.135875392,23739774.63821164,-13758149.432201758,-0.0009315235679144135,1.6857763865862134e-09,27913277.662518628,0.0,计算成功
2026-04-01 00:00:00,C33,-19547082.97532789,-6779007.802046234,-18709533.361925427,-0.0009237968020976526,1.0935685475026848e-09,27894265.329016246,0.0,计算成功
2026-04-01 00:00:00,C34,-8909762.129850313,-16713531.387885612,20479428.852224447,0.000915704464539945,-1.402106055087304e-09,27895035.37867761,0.0,计算成功
2026-04-01 00:00:00,C35,15849103.504876323,-21417447.912543796,-8382030.37486957,-0.0003281153203204373,-9.476423373401961e-10,27931337.06430907,0.0,计算成功
2026-04-01 00:00:00,C36,27739241.409160882,8316.58952114312,2987902.278341266,0.0002923250842235614,-1.2976721385818592e-09,27899697.904211864,0.0,计算成功
2026-04-01 00:00:00,C37,-3456525.0124646127,16408276.8869005,22313540.80145574,-0.000954690556942897,-1.2735532969673075e-09,27911883.10840415,0.0,计算成功
2026-04-01 00:00:00,C38,-6781929.454363521,12831920.486139575,-23777032.543864924,0.00028162631802799087,-3.183814009157606e-09,27856777.040400486,0.0,计算成功
2026-04-01 00:00:00,C39,-16199487.44457379,19062923.007753875,12256223.383338507,-2.1639425593770845e-05,8.178122929153456e-09,27857376.737387702,0.0,计算成功
2026-04-01 00:00:00,C40,-8080527.376098337,24893553.689855687,10004883.81851692,-0.00021994423210535197,3.1935432480428095e-09,28019308.31065649,0.0,计算成功
2026-04-01 00:00:00,C41,-10978543.809682438,11075745.918520967,-23089998.103626426,-0.0009394175688527261,2.3316800738042293e-09,27863032.574689753,0.0,计算成功
2026-04-01 00:00:00,C42,-16913455.830605194,-22003477.262121223,-2591619.74443202,-0.0008975614586190819,-2.586962381983233e-09,27873544.673368122,0.0,计算成功
2026-04-01 00:00:00,C43,-18163767.51883478,4016396.5407275455,20776015.963365078,0.0001352180426371997,-3.9093290032149916e-10,27887214.471163057,0.0,计算成功
2026-04-01 00:00:00,C44,5544849.628831907,-26370677.02901226,7285274.500296613,0.0008424910899976647,-2.053866335288272e-09,27914748.591371987,0.0,计算成功
2026-04-01 00:00:00,C45,22158989.664222132,-10886155.281960145,-12993433.183280485,-0.0007736497045140168,1.0641645831612704e-09,27899077.14693134,0.0,计算成功
2026-04-01 00:00:00,C46,17613230.942583606,11763813.77829538,18136776.174297567,-0.0003632678603245643,-9.441002313258205e-10,27884688.788719963,0.0,计算成功
2026-04-01 00:00:00,C47,15027387.127948107,6095630.339269756,-22710350.966790497,-0.0005819174826219414,6.852597586281892e-10,27905897.479942273,0.0,计算成功
2026-04-01 00:00:00,C48,20119172.85799562,15784267.9769897,11197778.300750833,0.0006628840191923852,2.7554858514936747e-10,27916204.45067876,0.0,计算成功
2026-04-01 00:00:00,C49,-18766430.54691055,13641335.18982816,15486058.420750365,-0.0009376773883065812,2.4051971882289154e-10,27894138.212967876,0.0,计算成功
2026-04-01 00:00:00,C50,-11830361.315555826,-24530999.755548384,6049282.047048665,-0.0003822574030218216,-5.342608215721829e-10,27898408.756559215,0.0,计算成功
