epoch_time,sat_id,sat_X,sat_Y,sat_Z,health,elevation_deg,rho,satellite_clock_bias_s,satellite_clock_correction_m,sisre_error,iono_error,tropo_error,receiver_clock_error,noise_error,simulated_pseudorange,debug_note
2026-04-01 00:00:00,C19,703.4980170996757,248.97519548874854,677.5365958396084,0.0,-89.82621138137243,6372407.534330989,-0.0009550654257820341,-286321.41154601256,0.20407541500034218,12.104261711570668,3.2417663478508993,80.87511484696567,0.1796308040540081,6372504.139180114,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C20,4778.835125113473,5571.753711294633,1338.6140298875446,0.0,-89.8250610584086,6369343.032427501,-0.0009321977260842337,-279465.8476448031,0.6081307134941056,10.196105605994896,1.573251816948194,76.16167163859802,-0.3217579347548361,6369431.249829342,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C21,-177.53299804869226,-853.3948491261979,493.07374519392744,0.0,-89.82479839595862,6373053.771050187,-0.0008638381943648821,-258972.17560292975,-0.5991335321037109,10.37314841076481,6.107110286915766,38.466645718274535,-0.11183537841531795,6373108.006985692,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C22,698.9613613901258,-837.2940466986281,1584.3856394978957,0.0,-89.81479835651085,6372801.656529648,0.0004475734747566329,134179.15213289193,0.30915869415287817,8.302532685793079,2.866966771589964,35.857518865025284,-0.4640100305260928,6372848.528696634,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C23,-119353.77461445112,62532.18575116243,73459.38930578007,0.0,-89.19666226394604,6244496.827644011,-0.0004726635547999732,-141700.96890050167,-0.5650176038117932,8.189593507930043,3.641263967864518,63.191148951037775,-0.08752284798089427,6244571.197109986,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C24,-113985.24086270081,-83372.23981889887,-127094.70462715591,0.0,-88.60137212635254,6464083.394065341,-0.00020188248826890994,-60522.847385292676,-0.98013330645643,9.535939431726803,1.242037612388545,75.31995172761944,0.002866840600821197,6464168.514727647,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C25,-297946.3530475872,9713.433586585386,-27859.239673046366,0.0,-87.47175012004044,6279464.591285425,0.0009035613871166289,270880.8891975837,-1.7631104002847795,15.10701373837686,3.2606170103457073,56.533409213936515,-0.2801981921468886,6279537.4490167955,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C26,16151.477163656402,-154215.5230798489,-210653.88290066013,0.0,-89.12695665303914,6607192.169295036,-0.0006186040198246023,-185452.81963189825,-0.6236973126137033,7.365120627111952,5.433282327260388,68.83085194858468,0.07076847925718578,6607273.245621106,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C28,-3171.1865847948175,4383.759195826275,1340.222958043788,0.0,-89.84528356402973,6367443.734719363,0.0005013184845435682,150291.5007221513,0.054557110937525494,5.916129778031031,1.7486058131517277,59.69893116491823,-0.3192266710620451,6367510.833716559,模拟伪距调试记录，不参与SPP解算
2026-04-01 00:00:00,C29,75106.83367521693,-10657.455217539748,-89926.99353131762,0.0,-89.33856171603007,6453822.467202435,0.0005840986198865378,175108.36097019285,0.5025167248664997,9.41365608606807,0.8763152906898037,44.49069517766779,0.16177002938902385,6453877.912155744,模拟伪距调试记录，不参与SPP解算
