epoch,x_m,y_m,z_m,lat_deg,lon_deg,height_m,receiver_clock_bias_m,receiver_clock_bias_s,num_sats,GDOP,PDOP,HDOP,VDOP,TDOP,converged,iterations,message,error_3d_m
2026-04-01 00:00:00,-2267800.0944136456,5009340.085716209,3221000.1151956357,30.528523663939012,114.35694464737371,42.03896075114608,70.27012496441425,2.3439590653215915e-07,23,0.4700051767786009,0.4456675442440282,0.3562974456936087,0.2677156890895877,0.14928263866297736,True,2,定位解算收敛,0.17184655802265175
2026-04-01 00:05:00,-2267799.8995308406,5009340.222524404,3221000.239694499,30.528524428481713,114.35694220957316,42.14032477512956,70.22492544081408,2.3424513715022837e-07,21,0.4701360772832875,0.4458181482234322,0.3560529023054261,0.26829117027075805,0.14924513351512375,True,3,定位解算收敛,0.3421470663555972
2026-04-01 00:10:00,-2267800.2690957333,5009340.345079937,3221000.557363683,30.528525686776337,114.35694519094655,42.52914818748832,55.7908917956219,1.8609838342104625e-07,26,0.4702601909893243,0.44596129430149595,0.355817858926054,0.2688403379040137,0.14920848238036025,True,2,定位解算收敛,0.7086232790545111
2026-04-01 00:15:00,-2267800.1267941166,5009340.069761164,3221000.071453426,30.52852332948033,114.35694502330381,42.015724202618,57.47243477965665,1.9170740706110975e-07,25,0.4703768681626631,0.4460962850740746,0.35559360155207365,0.269360513238513,0.14917272721789776,True,2,定位解算收敛,0.1613969021685622
2026-04-01 00:20:00,-2267800.2630349523,5009339.868347882,3221000.253287015,30.52852532556571,114.35694718208374,41.99843838624656,57.36811637717862,1.9135943832575875e-07,26,0.4704856167811941,0.4462225891672264,0.35538134431025137,0.26984940096161397,0.1491379110584472,True,2,定位解算收敛,0.3881674615740545
2026-04-01 00:25:00,-2267799.979162153,5009339.439189431,3221000.073742196,30.528526258343742,114.35694633169786,41.46962570492178,54.1622744327828,1.80665900650452e-07,19,0.4705861048863754,0.44633984332366694,0.35518222786314285,0.2703050882768765,0.1491040789983131,True,4,定位解算收敛,0.5660217498933934
2026-04-01 00:30:00,-2267800.1798219215,5009341.360710572,3221001.1575599783,30.528526279486933,114.35693997904549,43.5992879178375,68.49340933087775,2.2846942110490903e-07,26,0.47067815542371744,0.44644784816043187,0.3549973056543759,0.2707260499198657,0.14907127444948298,True,2,定位解算收敛,1.7954983399664903
2026-04-01 00:35:00,-2267800.5232277075,5009340.998511988,3221000.3380293543,30.528520774838448,114.35694479524832,43.02076735533774,36.02932434899616,1.2018088977073654e-07,19,0.4707617491525927,0.4465465687713797,0.35482755087354406,0.27111113444964785,0.1490395463751687,True,4,定位解算收敛,1.1768845601561062
2026-04-01 00:40:00,-2267799.9268573965,5009340.390620483,3221000.4616599428,30.528525399811368,114.35694174660415,42.394690117798746,70.30765606062387,2.345210967936487e-07,23,0.47083700492066893,0.44663611667146585,0.35467383129276975,0.2714595625714356,0.14900894096428824,True,2,定位解算收敛,0.6091503139593523
2026-04-01 00:45:00,-2267800.053923371,5009340.295700307,3220999.3908877224,30.52851723622196,114.35694336065863,41.821428295224905,68.18489801935806,2.274403381400544e-07,24,0.47090416539749114,0.44671673516420307,0.35453691334761,0.2717708934925041,0.14897950031109286,True,2,定位解算收敛,0.6792379319758397
2026-04-01 00:50:00,-2267799.7119459924,5009340.032619145,3220999.7041816832,30.528521414826397,114.35694124503789,41.652642231434584,62.582608222795656,2.0875311086977262e-07,25,0.47096359582245606,0.4467887949939204,0.3544174534220164,0.2720450257622298,0.14895127142088568,True,2,定位解算收敛,0.41418304698300556
2026-04-01 00:55:00,-2267799.8715431313,5009340.264995079,3221000.3542620135,30.528525194257515,114.35694176139461,42.22190582565963,59.7842243468273,1.9941870701372783e-07,24,0.4710157520225907,0.4468527642805901,0.35431599108867845,0.2722821540315343,0.1489242952247955,True,2,定位解算收敛,0.4606789912194067
2026-04-01 01:00:00,-2267799.983805156,5009340.20137818,3221000.653301478,30.528527571138863,114.35694310040508,42.36376831308007,71.70780265588488,2.3919148311557886e-07,20,0.47106117432792916,0.4469091996926072,0.3542329456513785,0.272482757225176,0.14889861379247635,True,4,定位解算收敛,0.6838261952175325
